Reklamation,Beschwerde wegen fehlerhafter Ware — complaint; claim — Ich schicke der Firma (D) eine Reklamation (A) wegen des defekten Produkts (G).
Fehlbetrag,Fehlende Summe im Finanzkonto — deficit; shortfall — Der Buchhalter zeigt dem Chef (D) den Fehlbetrag (A) des Kontos (G).
Geschäftsaufgabe,Schließung eines Unternehmens — business closure — Die Bank informiert den Kunden (D) über die Geschäftsaufgabe (A) des Unternehmens (G).
schwache,geringe Stärke oder Leistung — weak — Der Trainer gibt dem schwachen Spieler (D) einen Rat (A) wegen seiner fehlenden Kraft (G).
deutlich,klar erkennbar oder verständlich — clear; distinct — Die Lehrerin zeigt den Schülern (D) die deutliche Verbesserung (A) ihrer Noten (G).
umgehend,sofort; ohne Verzögerung — immediate; prompt — Er schickt dem Kunden (D) eine umgehende Antwort (A) auf die Frage (G).
festlegen,verbindlich bestimmen oder entscheiden — to determine; to set — Die Managerin legt den Mitarbeitern (D) die Ziele (A) des Projekts (G) fest.
rechtswirksam,rechtlich gültig und verbindlich — legally valid; effective — Der Anwalt erklärt dem Mandanten (D) die rechtswirksame Kündigung (A) des Vertrags (G).
Auftrag,Bestellung oder Arbeitsanweisung — order; assignment — Der Kunde gibt dem Verkäufer (D) einen Auftrag (A) für die Lieferung (G).
anstatt,anstelle von; statt — instead of — Anstatt des Berichts (G) schickt der Mitarbeiter dem Chef (D) eine E-Mail (A).
Fehler unterlaufen,einen Fehler machen — to make a mistake — Dem Mitarbeiter (D) ist ein Fehler (N) unterlaufen; der den Bericht (A) der Abteilung (G) betrifft.
Posten streichen,eine Position abschaffen — to cut a position — Die Firma streicht dem Mitarbeiter (D) den Posten (A) der Abteilungsleitung (G).
versehen,mit etwas ausstatten — to provide; to supply — Der Chef versieht dem Mitarbeiter (D) das Büro (A) mit neuer Ausstattung (G).
oberflächlich,nicht tiefgründig oder sorgfältig — superficial; shallow — Der Prüfer gibt dem Studenten (D) nur eine oberflächliche Bewertung (A) der Arbeit (G).
Aufmerksamkeit,konzentrierte Wahrnehmung — attention — Der Lehrer schenkt dem Schüler (D) besondere Aufmerksamkeit (A) während der Prüfung (G).
entgegenkommen,jemandem entgegengehen; helfen — to accommodate; to meet halfway — Der Verkäufer kommt dem Kunden (D) mit einem Rabatt entgegen; trotz des Mangels (G) am Produkt.
aufzuhalten,stoppen oder verhindern — to stop; to hold up — Die Polizei versucht den Fahrer (A) aufzuhalten; der dem Unfallort (D) entkommen will.
aufrechtzuerhalten,etwas im Zustand bewahren — to maintain; to uphold — Die Firma versucht dem Management (D) den Betrieb (A) aufrechtzuerhalten; trotz des Drucks (G) der Konkurrenz.
betreffen,etwas jemanden angehen — to concern; to affect — Die neuen Regeln betreffen den Mitarbeiter (A) und das Team (A) der Abteilung (G).
sorgfältig,mit großer Genauigkeit — careful; thorough — Der Techniker erklärt dem Kunden (D) die sorgfältige Prüfung (A) der Maschine (G).
gründlich,umfassend und genau — thorough; detailed — Der Arzt gibt dem Patienten (D) eine gründliche Untersuchung (A) der Symptome (G).
stürzen,plötzlich fallen — to fall; to plunge — Der Radfahrer stürzt vom Fahrrad (D) und verletzt den Arm (A) während der Fahrt (G).
vergibt,etwas zuteilen oder vergeben — to give; to award — Der Chef vergibt dem Mitarbeiter (D) den Auftrag (A) wegen des Erfolgs (G).
Aufträge,mehrere Bestellungen oder Aufgaben — orders; assignments — Die Firma liefert den Kunden (D) die Aufträge (A) der letzten Woche (G).
pleite,zahlungsunfähig; bankrott — broke; bankrupt — Nach dem Konkurs hilft der Staat dem Unternehmen (D) nicht; weil es pleite ist.
Rücklagen,finanzielle Reserven — reserves; savings — Das Unternehmen nutzt die Rücklagen (G); um dem Mitarbeiter (D) das Gehalt (A) zu zahlen.
aufgebraucht,vollständig verbraucht — used up; depleted — Die Firma hat die Mittel (A) aus den Rücklagen (G) aufgebraucht; sodass sie dem Lieferanten (D) nicht mehr zahlen kann.
Rechtsanspruch,rechtlicher Anspruch — legal claim; entitlement — Der Mitarbeiter hat gegenüber dem Arbeitgeber (D) einen Rechtsanspruch (A) auf das Gehalt (G).
Einkünfte,Einnahmen; Einkommen — income; earnings — Der Steuerberater erklärt dem Klienten (D) die Einkünfte (A) aus dem letzten Jahr (G).
Lebensunterhalt,Mittel zum Lebenserhalt — livelihood; means of living — Der Vater zahlt der Familie (D) den Lebensunterhalt (A) trotz der schwierigen Situation (G).
Notlage,schwierige Situation — emergency; distress — Die Organisation hilft den Menschen (D) in der Notlage (A) während der Krise (G).
Kleinunternehmer,Inhaber eines kleinen Unternehmens — small business owner — Der Kleinunternehmer gibt dem Finanzamt (D) die Umsatzsteuer (A) gemäß den Vorschriften (G) ab.
Verschulden,Schuld oder Verantwortlichkeit — fault; blame; guilt — Dem Fahrer (D) wird das Verschulden (N) am Unfall (G) zugeschrieben; weshalb er den Schaden (A) bezahlen muss.
Verfügung,Anordnung oder Verfügungsmacht — disposal; order; decree — Der Chef gibt dem Mitarbeiter (D) die Verfügung (A) über die Finanzen (G).
rutschen,ausrutschen; gleiten — to slip; to slide — Dem Kind (D) ist auf der Treppe (D) das Bein (A) ausgerutscht; wegen der Nässe (G).
vorübergehend,zeitlich begrenzt — temporary; provisional — Die Firma stellt dem Mitarbeiter (D) vorübergehend einen Ersatzwagen (A) während der Reparatur (G) zur Verfügung.
anschaulich,klar und leicht verständlich — clear; vivid; illustrative — Der Lehrer zeigt den Schülern (D) eine anschauliche Erklärung (A) des Themas (G).
