,
,
Tätig,"beruflich aktiv sein — active, employed — Er ist bei der Bank (Dativ) als Berater (Akkusativ) des Unternehmens (Genitiv) tätig."
Mitwirken,"an etwas beteiligt sein — to participate, contribute — Sie wirkt an dem Projekt (Dativ) die Aufgabe (Akkusativ) ihres Chefs (Genitiv) mit."
Gelten,"als etwas angesehen werden — to be considered, apply — Er gilt bei den Kollegen (Dativ) als Experte (Akkusativ) des Teams (Genitiv)."
Einsetzen,"etwas verwenden — to use, deploy — Die Firma setzt in der Abteilung (Dativ) neue Maschinen (Akkusativ) des Herstellers (Genitiv) ein."
Gehören,"zu etwas zählen — to belong, be part of — Das Auto gehört dem Freund (Dativ) seines Vaters (Genitiv) und den Kindern (Akkusativ)."
Abschließen,"etwas beenden — to complete, finish — Er schließt den Vertrag (Akkusativ) mit dem Kunden (Dativ) des Unternehmens (Genitiv) ab."
Absolvieren,Ausbildung erfolgreich durchlaufen — to complete (studies) — Sie hat an der Uni (Dativ) ein Praktikum (Akkusativ) ihres Bruders (Genitiv) absolviert.
Fortführen,etwas weiterführen — to continue — Sie führt das Gespräch (Akkusativ) mit dem Kunden (Dativ) des Unternehmens (Genitiv) fort.
Ansehen,etwas betrachten — to look at — Er sieht dem Künstler (Dativ) das Bild (Akkusativ) des Museums (Genitiv) an.
Zweck,"Ziel oder Sinn — purpose — Der Zweck der Spende (Genitiv) hilft dem Verein (Dativ), neue Geräte (Akkusativ) zu kaufen."
Ausschreibung,"öffentliche Bekanntmachung — tender — Die Ausschreibung der Stadt (Genitiv) bietet den Firmen (Dativ) die Chance, ein Angebot (Akkusativ) einzureichen."
Vergeben,"etwas zuteilen — to award, assign — Die Firma vergibt dem Auftragnehmer (Dativ) den Auftrag (Akkusativ) des Projekts (Genitiv)."
Gezielt,"absichtlich, bewusst — targeted — Er stellt dem Kunden (Dativ) gezielte Fragen (Akkusativ) des Marktes (Genitiv)."
Unabhängig,"eigenständig, frei — independent — Sie arbeitet von dem Chef (Dativ) ein unabhängiges Projekt (Akkusativ) der Abteilung (Genitiv) aus."
Verschaffen,etwas besorgen — to provide — Er verschafft dem Mitarbeiter (Dativ) einen Überblick (Akkusativ) des Plans (Genitiv).
Ermitteln,etwas herausfinden — to investigate — Die Polizei ermittelt im Fall (Dativ) die Täter (Akkusativ) des Diebstahls (Genitiv).
Besetzen,eine Stelle füllen — to occupy — Die Uni besetzt mit dem Professor (Dativ) die Stelle (Akkusativ) des Dekans (Genitiv).
Sich erkundigen,nachfragen — to inquire — Ich erkundige mich bei dem Lehrer (Dativ) nach den Terminen (Akkusativ) des Kurses (Genitiv).
Foren,Diskussionsplattformen — forums — Die Nutzer schreiben in den Foren (Dativ) Beiträge (Akkusativ) der Community (Genitiv).
Übernahme,"Erwerb, Übertragung — takeover — Die Übernahme des Unternehmens (Genitiv) bringt dem Investor (Dativ) neue Chancen (Akkusativ)."
Nachtschichten,Arbeit in der Nacht — night shifts — Die Nachtschichten des Krankenhauses (Genitiv) geben den Mitarbeitern (Dativ) die Arbeit (Akkusativ).
