Versteck,geheimer Ort zum Verbergen - hiding place - Der Junge zeigt dem Freund (Dativ) das Versteck (Akkusativ) des Schatzes (Genitiv).
Hinweis,"ein Tipp oder Zeichen - hint, clue - Die Lehrerin gibt dem Schüler (Dativ) einen Hinweis (Akkusativ) des Tests (Genitiv)."
Anwohner,Person die in einem Gebiet wohnt - resident - Der Polizist fragt dem Anwohner (Dativ) die Adresse (Akkusativ) des Hauses (Genitiv).
entdeckt,etwas Neues gefunden - discovered - Der Forscher zeigt dem Team (Dativ) den Fund (Akkusativ) des Tieres (Genitiv).
aufräumen,Dinge ordnen und sauber machen - to tidy up - Die Mutter hilft dem Kind (Dativ) das Zimmer (Akkusativ) der Wohnung (Genitiv) aufzuräumen.
gebissen,mit den Zähnen verletzt - bitten (past participle) - Der Hund hat dem Briefträger (Dativ) den Arm (Akkusativ) des Nachbarn (Genitiv) gebissen.
beladen,mit Last gefüllt - to load - Der Fahrer belädt dem LKW (Dativ) die Kisten (Akkusativ) des Unternehmens (Genitiv).
erwähnt,etwas beiläufig genannt - mentioned - Der Chef erwähnt dem Mitarbeiter (Dativ) das Problem (Akkusativ) des Berichts (Genitiv).
zerstört,etwas völlig kaputt gemacht - destroyed - Das Feuer hat dem Hausbesitzer (Dativ) das Dach (Akkusativ) des Gebäudes (Genitiv) zerstört.
gerettet,aus Gefahr befreit - rescued - Der Retter hat dem Kind (Dativ) das Leben (Akkusativ) der Mutter (Genitiv) gerettet.
beschädigt,teilweise kaputt gemacht - damaged - Der Sturm hat dem Besitzer (Dativ) die Scheibe (Akkusativ) des Autos (Genitiv) beschädigt.
Lkw,"großes Fahrzeug für Transport - truck, lorry - Der Fahrer parkt dem Mechaniker (Dativ) den Lkw (Akkusativ) der Spedition (Genitiv)."
angebracht,befestigt oder montiert - attached - Der Handwerker hat dem Kunden (Dativ) die Lampe (Akkusativ) der Decke (Genitiv) angebracht.
zahlreiche,große Menge - numerous - Der Professor zeigt den Studenten (Dativ) zahlreiche Beispiele (Akkusativ) des Fachs (Genitiv).
abgedeckt,geschützt oder bedeckt - covered - Der Arbeiter hat dem Wagen (Dativ) die Ladefläche (Akkusativ) des Lkws (Genitiv) abgedeckt.
umknicken,umknicken oder verdrehen - to twist - Der Wanderer ist dem Knöchel (Dativ) den Fuß (Akkusativ) des Beins (Genitiv) umgeknickt.
eingestürzt,zusammengebrochen - collapsed - Das Gebäude ist dem Eigentümer (Dativ) das Dach (Akkusativ) des Hauses (Genitiv) eingestürzt.
überflutet,mit Wasser bedeckt - flooded - Das Unwetter hat dem Keller (Dativ) den Boden (Akkusativ) des Hauses (Genitiv) überflutet.
beeinträchtigen,negativ beeinflussen - to impair - Der Lärm beeinträchtigt dem Schüler (Dativ) die Leistung (Akkusativ) des Tests (Genitiv).
Öffentlichkeit,die Allgemeinheit - public - Der Bürgermeister informiert der Öffentlichkeit (Dativ) die Pläne (Akkusativ) der Stadt (Genitiv).
übermitteln,weitergeben oder senden - to transmit - Der Bote übermittelt dem Empfänger (Dativ) die Nachricht (Akkusativ) des Absenders (Genitiv).
berücksichtigt,in Planung einbezogen - considered - Die Firma hat dem Kunden (Dativ) die Wünsche (Akkusativ) des Projekts (Genitiv) berücksichtigt.
erörtert,gründlich besprochen - discussed - Der Experte erörtert dem Publikum (Dativ) die Details (Akkusativ) des Plans (Genitiv).
festgelegte,offiziell bestimmt - fixed - Der Vertrag nennt dem Mitarbeiter (Dativ) die festgelegten Bedingungen (Akkusativ) der Zusammenarbeit (Genitiv).
betreuen,sich um jemanden kümmern - to care for - Die Pflegerin betreut dem Patienten (Dativ) die Wunde (Akkusativ) der Operation (Genitiv).
bzw,oder auch - respectively - Der Vertrag gilt für den Käufer (Dativ) bzw. den Verkäufer (Dativ) der Immobilie (Genitiv).
entgegenstehen,im Widerspruch zu etwas - to oppose - Die Regeln stehen dem Wunsch (Dativ) und dem Vorhaben (Akkusativ) des Antragstellers (Genitiv) entgegen.
im Anschluss verlängert werden,nachträglich länger gültig sein - to be extended afterwards - Der Mietvertrag kann dem Mieter (Dativ) im Anschluss die Laufzeit (Akkusativ) des Hauses (Genitiv) verlängert werden.
Befehl,Anweisung die befolgt werden muss - command - Der Offizier gibt dem Soldaten (Dativ) den Befehl (Akkusativ) des Generals (Genitiv).
dienstlich,beruflich bezogen - work-related - Der Mitarbeiter nutzt dem Büro (Dativ) den Laptop (Akkusativ) der dienstlichen Aufgaben (Genitiv).
veranschaulicht,anschaulich erklärt - illustrated - Der Lehrer veranschaulicht dem Schüler (Dativ) das Experiment (Akkusativ) des Kapitels (Genitiv).
tätig,"beruflich aktiv - active, working - Der Arzt ist dem Krankenhaus (Dativ) tätig und behandelt die Patienten (Akkusativ) der Abteilung (Genitiv)."
Ernährung,Aufnahme von Nahrung - nutrition - Die Beraterin erklärt dem Patienten (Dativ) die Grundlagen (Akkusativ) der gesunden Ernährung (Genitiv).
geeignetsten,am besten passend - most suitable - Der Trainer sucht dem Spieler (Dativ) die geeignetsten Übungen (Akkusativ) des Plans (Genitiv) aus.
einnehmen,zu sich nehmen oder Platz besetzen - to take - Der Patient nimmt dem Arzt (Dativ) die Medikamente (Akkusativ) der Behandlung (Genitiv) ein.
Ursache,Grund warum etwas passiert - cause - Der Gutachter nennt dem Gericht (Dativ) die Ursache (Akkusativ) des Unfalls (Genitiv).
verursacht,etwas ausgelöst - caused - Der Sturm hat dem Nachbarn (Dativ) den Schaden (Akkusativ) des Dachs (Genitiv) verursacht.
durchgeführten,abgeschlossen oder umgesetzt - carried out - Der Inspektor prüft dem Kunden (Dativ) die durchgeführten Maßnahmen (Akkusativ) des Projekts (Genitiv).
geschätzt,ungefähr bestimmt - estimated - Der Makler nennt dem Käufer (Dativ) den geschätzten Preis (Akkusativ) des Hauses (Genitiv).
lediglich,nur oder bloß - merely - Der Kunde hat dem Händler (Dativ) lediglich einen Teil (Akkusativ) des Betrags (Genitiv) gezahlt.
aufgetreten,passiert oder entstanden - occurred - Das Problem ist dem Team (Dativ) der Fehler (Akkusativ) des Systems (Genitiv) aufgetreten.
unsachgemäßen,falsch behandelt - improper - Der Schaden entstand durch den unsachgemäßen Umgang (Akkusativ) des Geräts (Genitiv).
Pauschalpreis,fester Gesamtbetrag - flat rate - Der Kunde zahlt dem Anbieter (Dativ) den Pauschalpreis (Akkusativ) des Vertrags (Genitiv).
Anspruch,Recht auf etwas - claim - Der Mitarbeiter stellt dem Arbeitgeber (Dativ) einen Anspruch (Akkusativ) auf Urlaubstage (Genitiv).
Kostenvoranschlag,Kostenschätzung vorab - cost estimate - Der Handwerker schickt dem Kunden (Dativ) den Kostenvoranschlag (Akkusativ) des Auftrags (Genitiv).
berechtigt,"das Recht habend - entitled - Der Käufer ist berechtigt, dem Verkäufer (Dativ) eine Rückgabe (Akkusativ) des Produkts (Genitiv) zu verlangen."
